ID;SBI;SBI_letter;Datum;Voorbeeldbedrijf;KVK;Ziekteverzyuim 2022;Ziekteverzuim 2023;Ziekteverzuim 2024;Gem. maandloon (excl. Overwerk);Gem. jaarloon (excl. Overwerk);Totale loonsom;Sectorgrootte;Man;Man-geb-datum;Vrouw;Vrouw-geb.datum;Aantal medewerkers;Gender dominance;Age dominance;Average age;Premie prijs_CB;Price_without_overhead;Estimated_SickLeave_CB;PriceCB from total wage;Premie prijs/pp_CB;UWV_Fixed_costs;UWV_Variable costs;Sickleave_new_model_C90;UWV_Premium_Price;UWV_Premium from Total wage;UWV_Premium_Price/PP;Difference_ABS;Difference_PP;Difference_%;Difference_Ziekteverzuim;Actuals_2024;Difference_Actuals_CB;Difference_actuals_UWV;Percentage_of_Total_Wage_UWV;Percentage_of_Total_Wage_CB;Difference_Percentage_Total_wage;Comeptitive;;;;;;;;
K Financiële dienstverlening-2025Q1-1 tot 10 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 333.840 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 22.510,20 ; € 19.574,09 ;5,86%;6,74%; € 4.502,04 ;315;15%;1,93; € 7.735,27 ;2,32%; € 1.547,05 ; € -14.774,93 ; € -2.954,99 ;-66%;3,9%;3,8%;-2,1%;1,9%;2,3%;6,7%;65,6%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-1 tot 10 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 236.400 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 18.811,80 ; € 16.358,09 ;6,92%;7,96%; € 3.762,36 ;315;15%;1,94; € 5.587,76 ;2,36%; € 1.117,55 ; € -13.224,04 ; € -2.644,81 ;-70%;5,0%;3,8%;-3,1%;1,9%;2,4%;8,0%;70,3%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-1 tot 10 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 271.140 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 9.877,20 ; € 8.588,87 ;3,17%;3,64%; € 1.975,44 ;315;15%;1,74; € 5.726,69 ;2,11%; € 1.145,34 ; € -4.150,51 ; € -830,10 ;-42%;1,4%;3,4%;0,2%;1,7%;2,1%;3,6%;42,0%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-1 tot 10 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 140.340 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 12.518,76 ; € 10.885,88 ;7,76%;8,92%; € 2.503,75 ;315;15%;2,43; € 4.228,83 ;3,01%; € 845,77 ; € -8.289,93 ; € -1.657,99 ;-66%;5,3%;4,7%;-3,1%;2,3%;3,0%;8,9%;66,2%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-1 tot 10 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 265.860 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 17.228,40 ; € 14.981,22 ;5,64%;6,48%; € 3.445,68 ;315;15%;3,08; € 9.720,56 ;3,66%; € 1.944,11 ; € -7.507,84 ; € -1.501,57 ;-44%;2,6%;6,1%;0,5%;3,0%;3,7%;6,5%;43,6%;Yes;;;;;;;;
P Onderwijs-2025Q1-1 tot 10 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 215.940 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 19.862,40 ; € 17.271,65 ;8,00%;9,20%; € 3.972,48 ;315;15%;2,90; € 7.525,99 ;3,49%; € 1.505,20 ; € -12.336,41 ; € -2.467,28 ;-62%;5,1%;5,6%;-2,4%;2,7%;3,5%;9,2%;62,1%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-1 tot 10 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 170.820 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 17.768,40 ; € 15.450,78 ;9,05%;10,40%; € 3.553,68 ;315;15%;3,78; € 7.740,53 ;4,53%; € 1.548,11 ; € -10.027,87 ; € -2.005,57 ;-56%;5,3%;7,3%;-1,7%;3,5%;4,5%;10,4%;56,4%;Yes;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-1 tot 10 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 136.500 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 11.521,44 ; € 10.018,64 ;7,34%;8,44%; € 2.304,29 ;315;15%;2,38; € 4.054,01 ;2,97%; € 810,80 ; € -7.467,43 ; € -1.493,49 ;-65%;5,0%;4,6%;-2,7%;2,2%;3,0%;8,4%;64,8%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-1 tot 10 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 175.740 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 18.251,04 ; € 15.870,47 ;9,03%;10,39%; € 3.650,21 ;315;15%;2,34; € 5.037,35 ;2,87%; € 1.007,47 ; € -13.213,69 ; € -2.642,74 ;-72%;6,7%;4,4%;-4,6%;2,1%;2,9%;10,4%;72,4%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-1 tot 10 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 151.320 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 15.007,92 ; € 13.050,37 ;8,62%;9,92%; € 3.001,58 ;315;15%;1,93; € 3.672,49 ;2,43%; € 734,50 ; € -11.335,43 ; € -2.267,09 ;-76%;6,7%;3,5%;-5,1%;1,6%;2,4%;9,9%;75,5%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-1 tot 10 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 383.580 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 32.541,12 ; € 28.296,63 ;7,38%;8,48%; € 6.508,22 ;315;15%;2,44; € 11.078,55 ;2,89%; € 2.215,71 ; € -21.462,57 ; € -4.292,51 ;-66%;4,9%;4,6%;-2,8%;2,2%;2,9%;8,5%;66,0%;Yes;;;;;;;;
C Industrie-2025Q1-1 tot 10 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 245.580 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 12.553,20 ; € 10.915,83 ;4,44%;5,11%; € 2.510,64 ;315;15%;3,16; € 9.253,08 ;3,77%; € 1.850,62 ; € -3.300,12 ; € -660,02 ;-26%;1,3%;6,1%;1,7%;2,9%;3,8%;5,1%;26,3%;Yes;;;;;;;;
D Energievoorziening-2025Q1-1 tot 10 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 314.580 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 26.208,72 ; € 22.790,19 ;7,24%;8,33%; € 5.241,74 ;315;15%;2,45; € 9.180,25 ;2,92%; € 1.836,05 ; € -17.028,47 ; € -3.405,69 ;-65%;4,8%;4,7%;-2,5%;2,2%;2,9%;8,3%;65,0%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-1 tot 10 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 236.040 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 23.245,92 ; € 20.213,84 ;8,56%;9,85%; € 4.649,18 ;315;15%;3,12; € 8.784,42 ;3,72%; € 1.756,88 ; € -14.461,50 ; € -2.892,30 ;-62%;5,4%;6,5%;-2,1%;3,4%;3,7%;9,8%;62,2%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-1 tot 10 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 251.820 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 21.483,84 ; € 18.681,60 ;7,42%;8,53%; € 4.296,77 ;315;15%;2,22; € 6.744,07 ;2,68%; € 1.348,81 ; € -14.739,77 ; € -2.947,95 ;-69%;5,2%;4,6%;-2,8%;2,4%;2,7%;8,5%;68,6%;Yes;;;;;;;;
G Handel-2025Q1-1 tot 10 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 152.040 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 8.886,60 ; € 7.727,48 ;5,08%;5,84%; € 1.777,32 ;315;15%;2,51; € 4.695,14 ;3,09%; € 939,03 ; € -4.191,46 ; € -838,29 ;-47%;2,6%;4,6%;-0,5%;2,1%;3,1%;5,8%;47,2%;Yes;;;;;;;;
H Vervoer en opslag-2025Q1-1 tot 10 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 208.560 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 20.553,00 ; € 17.872,17 ;8,57%;9,85%; € 4.110,60 ;315;15%;3,16; € 7.895,79 ;3,79%; € 1.579,16 ; € -12.657,21 ; € -2.531,44 ;-62%;5,4%;6,2%;-2,4%;3,0%;3,8%;9,9%;61,6%;Yes;;;;;;;;
I Horeca-2025Q1-1 tot 10 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 84.060 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 8.584,68 ; € 7.464,94 ;8,88%;10,21%; € 1.716,94 ;315;15%;2,07; € 2.312,51 ;2,75%; € 462,50 ; € -6.272,17 ; € -1.254,43 ;-73%;6,8%;3,4%;-5,5%;1,3%;2,8%;10,2%;73,1%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-1 tot 10 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 288.780 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 18.539,88 ; € 16.121,63 ;5,58%;6,42%; € 3.707,98 ;315;15%;2,13; € 7.401,80 ;2,56%; € 1.480,36 ; € -11.138,08 ; € -2.227,62 ;-60%;3,4%;3,8%;-1,8%;1,7%;2,6%;6,4%;60,1%;Yes;;;;;;;;
K Financiële dienstverlening-2025Q1-1 tot 10 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 333.840 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 27.784,80 ; € 24.160,70 ;7,24%;8,32%; € 5.556,96 ;315;15%;1,93; € 7.735,27 ;2,32%; € 1.547,05 ; € -20.049,53 ; € -4.009,91 ;-72%;5,3%;3,8%;-3,4%;1,9%;2,3%;8,3%;72,2%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-1 tot 10 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 236.400 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 22.712,40 ; € 19.749,91 ;8,35%;9,61%; € 4.542,48 ;315;15%;1,94; € 5.587,76 ;2,36%; € 1.117,55 ; € -17.124,64 ; € -3.424,93 ;-75%;6,4%;3,8%;-4,6%;1,9%;2,4%;9,6%;75,4%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-1 tot 10 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 271.140 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 12.127,56 ; € 10.545,70 ;3,89%;4,47%; € 2.425,51 ;315;15%;1,74; € 5.726,69 ;2,11%; € 1.145,34 ; € -6.400,87 ; € -1.280,17 ;-53%;2,2%;3,4%;-0,5%;1,7%;2,1%;4,5%;52,8%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-1 tot 10 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 140.340 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 14.679,96 ; € 12.765,18 ;9,10%;10,46%; € 2.935,99 ;315;15%;2,43; € 4.228,83 ;3,01%; € 845,77 ; € -10.451,13 ; € -2.090,23 ;-71%;6,7%;4,7%;-4,4%;2,3%;3,0%;10,5%;71,2%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-1 tot 10 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 265.860 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 21.163,08 ; € 18.402,68 ;6,92%;7,96%; € 4.232,62 ;315;15%;3,08; € 9.720,56 ;3,66%; € 1.944,11 ; € -11.442,52 ; € -2.288,50 ;-54%;3,8%;6,1%;-0,8%;3,0%;3,7%;8,0%;54,1%;Yes;;;;;;;;
P Onderwijs-2025Q1-1 tot 10 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 215.940 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 23.986,92 ; € 20.858,19 ;9,66%;11,11%; € 4.797,38 ;315;15%;2,90; € 7.525,99 ;3,49%; € 1.505,20 ; € -16.460,93 ; € -3.292,19 ;-69%;6,8%;5,6%;-4,1%;2,7%;3,5%;11,1%;68,6%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-1 tot 10 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 170.820 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 21.201,84 ; € 18.436,38 ;10,79%;12,41%; € 4.240,37 ;315;15%;3,78; € 7.740,53 ;4,53%; € 1.548,11 ; € -13.461,31 ; € -2.692,26 ;-63%;7,0%;7,3%;-3,5%;3,5%;4,5%;12,4%;63,5%;Yes;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-1 tot 10 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 136.500 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 13.473,36 ; € 11.715,97 ;8,58%;9,87%; € 2.694,67 ;315;15%;2,38; € 4.054,01 ;2,97%; € 810,80 ; € -9.419,35 ; € -1.883,87 ;-70%;6,2%;4,6%;-4,0%;2,2%;3,0%;9,9%;69,9%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-1 tot 10 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 175.740 ; 1 tot 10 werkzame personen ;1;1980;4;1970;5;Woman;Old;53; € 21.783,36 ; € 18.942,05 ;10,78%;12,40%; € 4.356,67 ;315;15%;2,34; € 5.037,35 ;2,87%; € 1.007,47 ; € -16.746,01 ; € -3.349,20 ;-77%;8,4%;4,4%;-6,4%;2,1%;2,9%;12,4%;76,9%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-1 tot 10 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 151.320 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 7.139,40 ; € 6.208,17 ;4,10%;4,72%; € 1.427,88 ;315;15%;1,93; € 3.672,49 ;2,43%; € 734,50 ; € -3.466,91 ; € -693,38 ;-49%;2,2%;3,5%;-0,6%;1,6%;2,4%;4,7%;48,6%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-1 tot 10 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 383.580 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 14.627,88 ; € 12.719,90 ;3,32%;3,81%; € 2.925,58 ;315;15%;2,44; € 11.078,55 ;2,89%; € 2.215,71 ; € -3.549,33 ; € -709,87 ;-24%;0,9%;4,6%;1,3%;2,2%;2,9%;3,8%;24,3%;Yes;;;;;;;;
C Industrie-2025Q1-1 tot 10 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 245.580 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 5.922,48 ; € 5.149,98 ;2,10%;2,41%; € 1.184,50 ;315;15%;3,16; € 9.253,08 ;3,77%; € 1.850,62 ; € 3.330,60 ; € 666,12 ;56%;-1,1%;6,1%;4,0%;2,9%;3,8%;2,4%;-56,2%;No;;;;;;;;
D Energievoorziening-2025Q1-1 tot 10 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 314.580 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 11.895,36 ; € 10.343,79 ;3,29%;3,78%; € 2.379,07 ;315;15%;2,45; € 9.180,25 ;2,92%; € 1.836,05 ; € -2.715,11 ; € -543,02 ;-23%;0,8%;4,7%;1,4%;2,2%;2,9%;3,8%;22,8%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-1 tot 10 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 236.040 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 10.617,72 ; € 9.232,80 ;3,91%;4,50%; € 2.123,54 ;315;15%;3,12; € 8.784,42 ;3,72%; € 1.756,88 ; € -1.833,30 ; € -366,66 ;-17%;0,8%;6,5%;2,6%;3,4%;3,7%;4,5%;17,3%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-1 tot 10 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 251.820 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 9.849,84 ; € 8.565,08 ;3,40%;3,91%; € 1.969,97 ;315;15%;2,22; € 6.744,07 ;2,68%; € 1.348,81 ; € -3.105,77 ; € -621,15 ;-32%;1,2%;4,6%;1,2%;2,4%;2,7%;3,9%;31,5%;Yes;;;;;;;;
G Handel-2025Q1-1 tot 10 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 152.040 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 4.492,68 ; € 3.906,68 ;2,57%;2,95%; € 898,54 ;315;15%;2,51; € 4.695,14 ;3,09%; € 939,03 ; € 202,46 ; € 40,49 ;5%;0,1%;4,6%;2,0%;2,1%;3,1%;3,0%;-4,5%;No;;;;;;;;
H Vervoer en opslag-2025Q1-1 tot 10 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 208.560 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 9.415,80 ; € 8.187,65 ;3,93%;4,51%; € 1.883,16 ;315;15%;3,16; € 7.895,79 ;3,79%; € 1.579,16 ; € -1.520,01 ; € -304,00 ;-16%;0,8%;6,2%;2,3%;3,0%;3,8%;4,5%;16,1%;Yes;;;;;;;;
